indicator,ROC-AUC,AP,NDCG10,Precision10,Recall10,NDCG20,Precision20,Recall20,NDCG30,Precision30,Recall30,NDCG40,Precision40,Recall40,NDCG50,Precision50,Recall50,tie_count,rank_biserial,ci_low,ci_high
Gh_index,0.590911687013636,0.5494669382101243,0.4465052811552138,0.4621848739495799,0.090311986863711,0.4947083098469202,0.5147679324894514,0.2003284072249589,0.5459463237467963,0.5721558988764045,0.3344622331691297,0.5620497389246939,0.5854430379746836,0.4556650246305418,0.5713136036653558,0.5920608108108109,0.5755336617405583,1012,0.1818233740272719,0.1169560219890054,0.244286856571714
h index,0.5942400228457201,0.5507124103817908,0.4462597937227339,0.4621848739495799,0.090311986863711,0.4939048135310506,0.5137130801687763,0.1999178981937602,0.5467802075873969,0.5732497839239413,0.3351016799292661,0.5621172590584755,0.5855389336401994,0.4557396626362143,0.573726270244398,0.5950675675675675,0.5784564860426928,1007,0.1884800456914401,0.1230781751981151,0.2521654172913542
Rational h index,0.5954594131505676,0.5518683772926433,0.4461183864123824,0.4621848739495798,0.090311986863711,0.493084723275995,0.5126582278481012,0.1995073891625615,0.546651178701022,0.5730337078651685,0.334975369458128,0.5640296614217889,0.5879043600562587,0.4575807334428023,0.5779518089393226,0.6002252252252253,0.5834701696770663,571,0.1909188263011352,0.1248832726493895,0.2529077604055114
fractional h index,0.6128764189333905,0.5644577322710935,0.4450955224504261,0.4649859943977591,0.0908593322386425,0.5333548383378369,0.5654008438818566,0.2200328407224959,0.5799857069381087,0.613061797752809,0.3583743842364532,0.5799619338946127,0.6047819971870604,0.4707170224411603,0.5744800703954234,0.5929703742203742,0.5764178350385247,1023,0.225752837866781,0.1618136645962733,0.2880927393446134
i10 index,0.5878303705290213,0.5414410801585356,0.4386788717769618,0.4509803921568627,0.0881226053639846,0.4706297540465913,0.4866385372714488,0.1893814997263273,0.528761685035202,0.5533707865168539,0.3234811165845648,0.5502039113645416,0.5738396624472574,0.4466338259441708,0.5630946251071862,0.5850225225225225,0.5686918445539135,923,0.1756607410580426,0.1102513029199686,0.2393344042264581
wu index,0.5709473834511316,0.536107913472969,0.4278502711716656,0.4422268907563025,0.0864121510673234,0.4695814707377078,0.4894514767932489,0.1904761904761904,0.52717053416949,0.554307116104869,0.3240284619594965,0.5415056893456072,0.5654008438818565,0.4400656814449918,0.5563937480836435,0.5789695945945945,0.5628078817733989,933,0.1418947669022632,0.0769519525951309,0.2047828228742771
tappered_h_index,0.5818876276147641,0.5422123819653797,0.4275027787283612,0.4453781512605042,0.0870279146141215,0.4819740470466677,0.5063291139240507,0.1970443349753694,0.5284031386545458,0.5561797752808989,0.3251231527093596,0.5532807932326977,0.580168776371308,0.451559934318555,0.5651517078334684,0.589527027027027,0.5730706075533661,208,0.1637752552295281,0.0981295780681088,0.2269141143713857
Author/paper,0.4635082458770614,0.4827030238431178,0.4264270934432413,0.4369747899159664,0.0853858784893267,0.4429026745433606,0.4514767932489451,0.1756978653530377,0.4368433016399955,0.4410112359550562,0.257799671592775,0.4498330043071091,0.4556962025316455,0.354679802955665,0.4742593003566756,0.4847972972972973,0.4712643678160919,297,-0.072983508245877,-0.140023559648747,-0.0076439637324195
k dash index,0.5389005497251375,0.5080739121578064,0.4168361560196654,0.3940495116965707,0.0769981804464563,0.412849476807122,0.4008438818565402,0.1559934318555008,0.4523291412993973,0.4550561797752809,0.2660098522167488,0.4976897382762795,0.5105485232067511,0.3973727422003285,0.5445699563461122,0.5658783783783784,0.5500821018062397,265,0.0778010994502749,0.0109848647105019,0.1479097594060111
m_qoutient_index,0.5796687370600415,0.5444991499838259,0.4142757269282933,0.4705882352941176,0.0919540229885057,0.4993459878741682,0.5485232067510548,0.2134646962233169,0.5408401174496553,0.5842696629213483,0.3415435139573071,0.5443741842778128,0.5780590717299579,0.4499178981937602,0.5510383781239316,0.5793918918918919,0.5632183908045977,428,0.159337474120083,0.0948609266795173,0.2208510030698935
h2 lower_index,0.5750296280431213,0.5355253876925714,0.4099378881987577,0.4099378881987575,0.0801028057399871,0.4717312918052516,0.4894514767932489,0.1904761904761904,0.5255446864309362,0.550561797752809,0.3218390804597701,0.556362156098647,0.5822784810126582,0.4532019704433497,0.5609067940717603,0.5827702702702703,0.5665024630541872,216,0.1500592560862426,0.0823779538802026,0.2163219818662096
Total Publication,0.5502434497037195,0.5213425091324799,0.3918906608963151,0.4165666266506602,0.081398076471968,0.4714329236485429,0.5021097046413502,0.1954022988505747,0.4834886398706033,0.5070224719101124,0.2963875205254516,0.5188292553448033,0.5451724993794985,0.4243214527190186,0.5369852639551972,0.5622401247401247,0.5465454086143742,891,0.100486899407439,0.0331086599557363,0.1624235739273219
gF index,0.5502434497037195,0.5213425091324799,0.3918906608963151,0.4165666266506602,0.081398076471968,0.4714329236485429,0.5021097046413502,0.1954022988505747,0.4834886398706033,0.5070224719101124,0.2963875205254516,0.5188292553448033,0.5451724993794985,0.4243214527190186,0.5369852639551972,0.5622401247401247,0.5465454086143742,891,0.100486899407439,0.0331086599557363,0.1624235739273219
