model,cut_distance,family,count,members,mean_summed_abs_SHAP,SD,mean_per_indicator
XGB,0.05,F04,2,Cite/Year | platinium_h_index,0.2197861196274135,0.1208522071949674,0.1098930598137067
XGB,0.05,F05,1,Cite/Paper,0.0523863480254869,0.0600050113546714,0.0523863480254869
XGB,0.05,F06,23,h index | g index | f index | t index | tappered_h_index | wu index | Gh_index | i10 index | HI_index | hm_index | hf index | gf index | hi index | h_m_index | k norm index | w norm index | hg_index | pure h index | fractional g index | fractional h index | hl norm | hi index s | Rational h index,1.267786116327916,0.6690510093776435,0.055121135492518
XGB,0.05,F07,2,m index | A index,0.2468619621490565,0.1895110967436314,0.1234309810745282
XGB,0.05,F08,1,woginger_index,0.0698930101358151,0.0909418605383649,0.0698930101358151
XGB,0.05,F09,1,X index,0.3341987186028524,0.293172696331745,0.3341987186028524
XGB,0.05,F10,1,h2upper_index,0.2353876792604333,0.1506762537251839,0.2353876792604333
XGB,0.05,F11,1,h2 center_index,0.1681756214878791,0.1685988047506778,0.1681756214878791
XGB,0.05,F12,1,h2 lower_index,0.0818377479071067,0.0689296671908966,0.0818377479071067
XGB,0.05,F13,1,k dash index,0.0941916691339724,0.0994050091160255,0.0941916691339724
XGB,0.05,F14,1,normalized_h_index,0.0661154395030477,0.0675631180065369,0.0661154395030477
XGB,0.05,F15,1,m_qoutient_index,0.0717203205910688,0.0951283111593549,0.0717203205910688
XGB,0.05,F16,1,V index,0.331886986234757,0.2223388622704378,0.331886986234757
XGB,0.05,F17,1,P index,0.1817113291844843,0.1364201025542924,0.1817113291844843
XGB,0.05,F18,1,Author/paper,0.2170208457592781,0.1561212707492172,0.2170208457592781
XGB,0.05,F19,1,k index,0.3215776969262987,0.1554703046879527,0.3215776969262987
XGB,0.05,F20,1,Real h index,0.092335852789605,0.0855127985620008,0.092335852789605
XGB,0.1,F01,4,Total Publication | gF index | gm index | paper/author,0.2301875797920422,0.177672010633131,0.0575468949480105
XGB,0.1,F02,41,Total Citation | h index | g index | h(2) index | w index | h core citation | f index | t index | tappered_h_index | Maxprod | wu index | pi index | weighted h index | Gh_index | Rm index | i10 index | HI_index | AW_index | Ar index | hm_index | hf index | gf index | hi index | h_m_index | k norm index | w norm index | R index | q2 index | e index | hg_index | pure h index | fractional g index | fractional h index | AWCR | cites/author | h dash index | hl norm | hc index | ha index | hi index s | Rational h index,2.290392768394035,1.115432823125955,0.055863238253513
XGB,0.1,F03,1,Total Years,0.0998898931743435,0.1075577955208728,0.0998898931743435
XGB,0.1,F04,2,Cite/Year | platinium_h_index,0.2197861196274135,0.1208522071949674,0.1098930598137067
XGB,0.1,F05,2,Cite/Paper | normalized_h_index,0.1185017875285346,0.0923792058136682,0.0592508937642673
XGB,0.1,F06,3,m index | A index | P index,0.4285732913335409,0.256039714009335,0.1428577637778469
XGB,0.1,F07,1,woginger_index,0.0698930101358151,0.0909418605383649,0.0698930101358151
XGB,0.1,F08,1,X index,0.3341987186028524,0.293172696331745,0.3341987186028524
XGB,0.1,F09,1,h2upper_index,0.2353876792604333,0.1506762537251839,0.2353876792604333
XGB,0.1,F10,1,h2 center_index,0.1681756214878791,0.1685988047506778,0.1681756214878791
XGB,0.1,F11,1,h2 lower_index,0.0818377479071067,0.0689296671908966,0.0818377479071067
